,id,skills
125,3521769480,Analytics
126,3521769480,Business Development
127,3521769480,Events
128,3521769480,Pharmaceuticals
129,3521769480,Sales
130,3487227855,Analytical Skills
131,3487227855,Communication
132,3487227855,Microsoft Excel
133,3487227855,Commercial Negotiation
134,3487227855,Employee Benefits
135,3487227855,English
136,3487227855,Finance
137,3487227855,Financial Modeling
138,3487227855,Financing
139,3487227855,Interpersonal Skills
140,3350394553,Communication
141,3350394553,Appraisal
142,3350394553,Business Case Development
143,3350394553,Business Case Preparation
144,3350394553,Carbon Management
145,3350394553,Coaching
146,3350394553,Economic Appraisal
147,3350394553,Geographic Information Systems (GIS)
148,3350394553,Regenerative Design
149,3350394553,Transportation Planning
150,3290815048,Communication
151,3290815048,Data Analysis
152,3290815048,Data Analytics
153,3290815048,Presentations
154,3290815048,Communication Training
155,3290815048,Health Economics
156,3290815048,Information Retrieval
157,3290815048,Literature
158,3290815048,Literature Reviews
159,3290815048,Oral Communication
160,3321270136,Analytical Skills
161,3321270136,Data Analysis
162,3321270136,Data Analytics
163,3321270136,Presentation Skills
164,3321270136,Presentations
165,3321270136,Ad Hoc Reporting
166,3321270136,Decision Support
167,3321270136,Financial Planning
168,3321270136,Management Accounting
169,3321270136,Stakeholder Management
170,3532068106,Analytics
171,3532068106,Communication
172,3532068106,Presentations
173,3532068106,Problem Solving
174,3532068106,Attention to Detail
175,3532068106,Google Analytics
176,3532068106,Marketing
177,3532068106,Numeracy
178,3532068106,Visual Basic for Applications (VBA)
179,3532068106,Web Analytics
180,3536281515,Analytical Skills
181,3536281515,Communication
182,3536281515,Data Analysis
183,3536281515,Microsoft Excel
184,3536281515,SQL
185,3536281515,Tableau
186,3536281515,Azure Data Factory
187,3536281515,Database Development
188,3536281515,Microsoft Azure
189,3536281515,Microsoft SQL Server
190,3537044392,Data Analysis
191,3537044392,Microsoft Excel
192,3537044392,Business
193,3537044392,C (Programming Language)
194,3537044392,Data Entry
195,3537044392,Graphical User Interface (GUI)
196,3537044392,IR35
197,3537044392,On Site
198,3537044392,Proprietary Systems
199,3533256130,Data Science
200,3533256130,Machine Learning
201,3533256130,Mathematics
202,3533256130,Python (Programming Language)
203,3533256130,SQL
204,3533256130,Scikit-Learn
205,3533256130,Algorithms
206,3533256130,Big Data
207,3533256130,Computer Science
208,3533256130,Pandas (Software)
209,3500316212,Communication
210,3500316212,Critical Thinking
211,3500316212,Problem Solving
212,3500316212,itions
213,3500316212,Backlog Management
214,3500316212,Business Case Preparation
215,3500316212,Digital Engagement
216,3500316212,Investment Decisions
217,3500316212,Thinking Skills
218,3500316212,Written Communication
219,3500317133,Communication
220,3500317133,Critical Thinking
221,3500317133,Problem Solving
222,3500317133,itions
223,3500317133,Backlog Management
224,3500317133,Business Case Preparation
225,3500317133,Digital Engagement
226,3500317133,Investment Decisions
227,3500317133,Thinking Skills
228,3500317133,Written Communication
229,3464940744,Communication
230,3464940744,"Environment, Health, and Safety (EHS)"
231,3464940744,Fire Safety
232,3464940744,Industrial Hygiene
233,3464940744,Occupational Health
234,3464940744,Operational Requirements
235,3464940744,Personal Injury Law
236,3464940744,Public Finance
237,3464940744,Safety Training
238,3464940744,Virtual Training
239,3531085813,Communication
240,3531085813,Data Analytics
241,3531085813,Business Analysis
242,3531085813,Business Requirements
243,3531085813,Business Systems Analysis
244,3531085813,Customer Experience
245,3531085813,Functional Requirements
246,3531085813,Relational Databases
247,3531085813,Systems Analysis
248,3531085813,User Stories
249,3531085849,Amazon Web Services (AWS)
250,3531085849,Python (Programming Language)
251,3531085849,Hibernate
252,3531085849,JSON
253,3531085849,Jakarta Persistence
254,3531085849,Java
255,3531085849,JavaScript
256,3531085849,REST APIs
257,3531085849,Spring Boot
258,3531085849,Spring Framework
259,3520138153,Dashboard
260,3520138153,Business Intelligence (BI)
261,3520138153,DAX
262,3520138153,Data Architecture
263,3520138153,Data Warehousing
264,3520138153,Microsoft Power Query
265,3520138153,Pivot Tables
266,3520138153,PowerPivot
267,3520138153,Query Writing
268,3520138153,Troubleshooting
269,3537220470,Analytical Skills
270,3537220470,Data Analysis
271,3537220470,Data Analytics
272,3537220470,Microsoft Excel
273,3537220470,Presentations
274,3537220470,Python (Programming Language)
275,3537220470,Commodities
276,3537220470,Derivatives
277,3537220470,High Achiever
278,3537220470,Numeracy
279,3533536030,Analytical Skills
280,3533536030,Data Analysis
281,3533536030,Data Analytics
282,3533536030,Data Science
283,3533536030,NumPy
284,3533536030,SQL
285,3533536030,Datasets
286,3533536030,Logics
287,3533536030,Pandas (Software)
288,3533536030,Predictive Analytics
289,3533532653,Analytics
290,3533532653,Dashboard
291,3533532653,Data Analysis
292,3533532653,Problem Solving
293,3533532653,Python (Programming Language)
294,3533532653,SQL
295,3533532653,Tableau
296,3533532653,Bands
297,3533532653,Data Quality
298,3533532653,Employee Benefits
299,3537536205,Amazon Web Services (AWS)
300,3537536205,Ansible
301,3537536205,Continuous Integration and Continuous Delivery (CI/CD)
302,3537536205,Cyber-security
303,3537536205,DevOps
304,3537536205,Employee Benefits
305,3537536205,Fast Healthcare Interoperability Resources (FHIR)
306,3537536205,Hypertext Transfer Protocol (HTTP)
307,3537536205,Infrastructure as code (IaC)
308,3537536205,Scripting
309,3464940744,Communication
310,3464940744,"Environment, Health, and Safety (EHS)"
311,3464940744,Fire Safety
312,3464940744,Industrial Hygiene
313,3464940744,Occupational Health
314,3464940744,Operational Requirements
315,3464940744,Personal Injury Law
316,3464940744,Public Finance
317,3464940744,Safety Training
318,3464940744,Virtual Training
319,3500201943,ArcGIS Desktop
320,3500201943,Autodesk BIM 360
321,3500201943,Building Information Modeling (BIM)
322,3500201943,FME
323,3500201943,Geographic Information Systems (GIS)
324,3500201943,Navisworks
325,3500201943,Project Delivery
326,3500201943,ProjectWise
327,3500201943,Tekla
328,3500201943,Tekla Structures
329,3290815048,Communication
330,3290815048,Data Analysis
331,3290815048,Data Analytics
332,3290815048,Presentations
333,3290815048,Communication Training
334,3290815048,Health Economics
335,3290815048,Information Retrieval
336,3290815048,Literature
337,3290815048,Literature Reviews
338,3290815048,Oral Communication
339,3536428835,Communication
340,3536428835,Data Analytics
341,3536428835,Data Visualization
342,3536428835,Problem Solving
343,3536428835,SQL
344,3536428835,Statistics
345,3536428835,Catalogue
346,3536428835,Data Modeling
347,3536428835,English
348,3536428835,Software Implementation
349,3532081822,Analytics
350,3532081822,Communication
351,3532081822,Presentations
352,3532081822,Problem Solving
353,3532081822,Attention to Detail
354,3532081822,Google Analytics
355,3532081822,Marketing
356,3532081822,Numeracy
357,3532081822,Visual Basic for Applications (VBA)
358,3532081822,Web Analytics
359,3533527350,Analytical Skills
360,3533527350,Data Analytics
361,3533527350,Data Science
362,3533527350,Data Visualization
363,3533527350,Deep Learning
364,3533527350,Natural Language Processing (NLP)
365,3533527350,Pattern Recognition
366,3533527350,Predictive Analytics
367,3533527350,Statistical Data Analysis
368,3533527350,Visualization
369,3532068106,Analytics
370,3532068106,Communication
371,3532068106,Presentations
372,3532068106,Problem Solving
373,3532068106,Attention to Detail
374,3532068106,Google Analytics
375,3532068106,Marketing
376,3532068106,Numeracy
377,3532068106,Visual Basic for Applications (VBA)
378,3532068106,Web Analytics
379,3533525501,Continuous Integration and Continuous Delivery (CI/CD)
380,3533525501,DevOps
381,3533525501,Fast Healthcare Interoperability Resources (FHIR)
382,3533525501,Infrastructure as code (IaC)
383,3533525501,Scripting
384,3500316212,Communication
385,3500316212,Critical Thinking
386,3500316212,Problem Solving
387,3500316212,itions
388,3500316212,Backlog Management
389,3500316212,Business Case Preparation
390,3500316212,Digital Engagement
391,3500316212,Investment Decisions
392,3500316212,Thinking Skills
393,3500316212,Written Communication
394,3377687045,Analytical Skills
395,3377687045,Presentation Skills
396,3377687045,Presentations
397,3377687045,Economics
398,3377687045,Excel Models
399,3377687045,Quantitative Analytics
400,3377687045,Renewable Energy
401,3377687045,Sales Presentations
402,3377687045,Slide Preparation
403,3377687045,Writing
404,3356954607,R (Programming Language)
405,3356954607,Business Understanding
406,3356954607,Computational Finance
407,3356954607,Integrated Development Environments
408,3356954607,LGD
409,3356954607,MATLAB
410,3356954607,Model Validation
411,3356954607,Quantitative Risk
412,3356954607,SAS (Programming Language)
413,3356954607,SAS (Software)
414,3532065064,Analytical Skills
415,3532065064,Communication
416,3532065064,Microsoft Excel
417,3532065064,Compensation
418,3532065064,Compensation Management
419,3532065064,Employee Benefits
420,3532065064,Financial Analysis
421,3532065064,HR Recruitment
422,3532065064,Human Resources (HR)
423,3532065064,Reasoning Skills
424,3536281515,Analytical Skills
425,3536281515,Communication
426,3536281515,Data Analysis
427,3536281515,Microsoft Excel
428,3536281515,SQL
429,3536281515,Tableau
430,3536281515,Azure Data Factory
431,3536281515,Database Development
432,3536281515,Microsoft Azure
433,3536281515,Microsoft SQL Server
434,3533525251,Analytical Skills
435,3533525251,Analytics
436,3533525251,Dashboard
437,3533525251,Data Analytics
438,3533525251,Data Visualization
439,3533525251,Client Requirements
440,3533525251,Conversion Optimization
441,3533525251,Data Manipulation
442,3533525251,Marketing Analytics
443,3533525251,Web Analytics
444,3537044392,Data Analysis
445,3537044392,Microsoft Excel
446,3537044392,Business
447,3537044392,C (Programming Language)
448,3537044392,Data Entry
449,3537044392,Graphical User Interface (GUI)
450,3537044392,IR35
451,3537044392,On Site
452,3537044392,Proprietary Systems
453,3533256130,Data Science
454,3533256130,Machine Learning
455,3533256130,Mathematics
456,3533256130,Python (Programming Language)
457,3533256130,SQL
458,3533256130,Scikit-Learn
459,3533256130,Algorithms
460,3533256130,Big Data
461,3533256130,Computer Science
462,3533256130,Pandas (Software)
463,3536510474,Analytical Skills
464,3536510474,Communication
465,3536510474,Data Analytics
466,3536510474,Abandonment
467,3536510474,Forward Planning
468,3536510474,Key Metrics
469,3536510474,Performance Metrics
470,3536510474,Performance Reporting
471,3536510474,Resource Planning
472,3536510474,SAS (Software)
